Frame,TimeElapsedMicros,RawDifference,RMSE,SelectedPixelDifference,POSIX
1,0,0,0,0,1721144310143
2,99.54166666666667,710291.0,4.1028414,2461770,1721144310242
3,199.64583333333331,689743.0,4.286648,2407200,1721144310342
4,300.02083333333337,650164.0,3.9152975,2105790,1721144310443
5,399.91666666666663,3223706.0,3.65486,487050,1721144310542
6,499.3333333333333,1010602.0,1.7486436,267750,1721144310642
7,599.3125,570130.0,4.483119,2274090,1721144310742
8,699.2916666666666,177206.0,0.8249626,83130,1721144310842
9,799.3125,724653.0,4.574462,2400315,1721144310942
10,899.6041666666666,425793.0,2.4029117,1254600,1721144311042
11,999.9583333333333,240012.0,0.84137213,0,1721144311142
12,1099.8958333333333,521311.0,1.0937748,0,1721144311242
13,1199.8958333333335,467625.0,4.293233,2443920,1721144311342
14,1299.6874999999998,539181.0,3.67737,2254455,1721144311442
15,1399.9583333333333,585289.0,2.201417,1007760,1721144311542
16,1500.0,323237.0,2.287535,1116645,1721144311643
17,1600.0416666666665,1194755.0,6.388009,3944595,1721144311743
18,1699.9374999999998,595074.0,4.4648776,2668065,1721144311842
19,1799.8958333333333,434918.0,2.902459,1726860,1721144311942
20,1899.9374999999998,328750.0,2.1923037,1356600,1721144312042
21,2000.1875,214067.0,1.04375,241995,1721144312143
22,2099.9791666666665,171231.0,0.77501667,72165,1721144312242
23,2199.4791666666665,836564.0,3.8988578,2409240,1721144312342
24,2299.6666666666665,1054572.0,5.9205046,4110600,1721144312442
25,2399.625,876269.0,5.71294,3744675,1721144312542
26,2499.625,350972.0,2.1764116,1396890,1721144312642
27,2599.291666666667,389185.0,2.8207383,1454010,1721144312742
28,2699.6249999999995,287146.0,1.8961377,944010,1721144312842
29,2799.9166666666665,352636.0,2.3208354,1336455,1721144312942
30,2900.3125,582937.0,3.0767374,1742160,1721144313043
31,3000.25,453878.0,1.9280939,938145,1721144313143
32,3100.1875,1545623.0,4.804494,2599215,1721144313243
33,3199.6666666666665,543969.0,4.292038,2488800,1721144313342
34,3300.0208333333335,243330.0,1.7359979,751740,1721144313443
35,3400.208333333333,3331396.0,4.1175337,1452735,1721144313543
36,3499.9791666666665,1269338.0,3.229104,1807695,1721144313642
37,3599.8541666666665,313404.0,2.6775575,1534845,1721144313742
38,3699.875,375934.0,1.2833331,328440,1721144313842
39,3799.895833333333,418987.0,2.1644385,1063095,1721144313942
40,3899.9791666666665,314033.0,1.2103921,430185,1721144314042
41,3999.9583333333335,385568.0,2.19807,1300245,1721144314142
42,4099.604166666666,402761.0,2.4154215,1550145,1721144314242
43,4199.5625,689470.0,2.538204,1368075,1721144314342
44,4299.458333333333,773408.0,5.219131,2926380,1721144314442
45,4400.020833333334,271961.0,1.4017003,536520,1721144314543
46,4500.083333333333,671909.0,2.860107,1476705,1721144314643
47,4599.854166666667,245238.0,1.2309573,585735,1721144314742
48,4699.625,516005.0,1.8362331,823650,1721144314842
49,4799.916666666666,489227.0,1.6797881,733125,1721144314942
50,4899.916666666667,824786.0,4.5456247,2528835,1721144315042
51,4999.666666666666,499771.0,3.7137396,2145315,1721144315142
52,5099.625,624299.0,3.2685046,1963245,1721144315242
53,5200.333333333333,597973.0,3.3806412,1999455,1721144315343
54,5299.645833333333,454991.0,2.2530959,1246950,1721144315442
55,5399.604166666666,622151.0,3.7096446,2174895,1721144315542
56,5499.604166666667,487422.0,2.547935,1404285,1721144315642
57,5599.604166666666,400128.0,1.7548591,828240,1721144315742
58,5699.645833333333,619195.0,3.5892656,1805145,1721144315842
59,5799.583333333334,324054.0,1.0841607,211140,1721144315942
60,5899.520833333333,456223.0,2.155153,885870,1721144316042
61,6000.208333333333,314157.0,1.5125575,259335,1721144316143
62,6099.875,578803.0,3.3454258,1880625,1721144316242
63,6199.833333333333,491563.0,2.9568696,1870680,1721144316342
64,6299.958333333334,610794.0,3.1805096,1964010,1721144316442
65,6399.895833333333,3254768.0,3.8291576,1071765,1721144316542
66,6499.895833333333,1040826.0,3.5298817,1990020,1721144316642
67,6599.979166666666,259377.0,2.1261902,1284690,1721144316742
68,6699.833333333333,537316.0,2.535318,1558305,1721144316842
69,6800.333333333333,2076291.0,7.856753,7067580,1721144316943
70,6899.999999999999,2881001.0,7.8745847,14019135,1721144317043
71,7000.1875,3240507.0,9.714711,18840930,1721144317143
72,7099.645833333333,1496659.0,6.4959126,6438495,1721144317242
73,7199.5625,1076783.0,6.6331773,4653240,1721144317342
74,7299.729166666666,895994.0,5.335123,4095555,1721144317442
75,7399.916666666666,2099983.0,8.674971,8685300,1721144317542
76,7499.958333333333,1245272.0,7.0050015,6283455,1721144317642
77,7600.208333333333,827842.0,6.1012917,4333725,1721144317743
78,7699.708333333333,321787.0,1.4010595,493425,1721144317842
79,7800.0625,679194.0,3.5045762,2255475,1721144317943
80,7899.791666666666,2751421.0,9.872236,13577220,1721144318042
81,7999.833333333333,3055798.0,9.281131,19870110,1721144318142
82,8099.916666666667,2532498.0,8.814839,15528735,1721144318242
83,8199.541666666666,1795610.0,7.2657533,9838920,1721144318342
84,8299.958333333332,1980297.0,8.152376,10924200,1721144318442
85,8400.208333333334,1561428.0,7.244346,7982010,1721144318543
86,8499.958333333334,522685.0,3.067462,2286075,1721144318642
87,8599.583333333334,908530.0,5.442862,3600090,1721144318742
88,8699.75,663750.0,3.319542,3179850,1721144318842
89,8800.125,1743850.0,7.5519495,9260835,1721144318943
90,8899.5625,1551619.0,6.4161406,7159635,1721144319042
91,8999.791666666666,1815079.0,6.9452033,7544175,1721144319142
92,9099.9375,1707438.0,6.208095,8723295,1721144319242
93,9199.666666666666,1149568.0,4.5585203,6163605,1721144319342
94,9299.9375,540757.0,3.5381572,2187390,1721144319442
95,9399.604166666666,3563165.0,4.540003,1773270,1721144319542
96,9499.958333333334,512653.0,1.8079631,892245,1721144319642
97,9599.791666666666,1261492.0,5.305558,5855055,1721144319742
98,9699.645833333334,1215090.0,5.5614405,5535285,1721144319842
99,9799.854166666666,521968.0,2.1291277,1680960,1721144319942
100,9901.395833333334,327824.0,1.732072,1088085,1721144320044
101,9999.833333333334,1706973.0,6.421619,6938040,1721144320142
102,10099.791666666666,1515542.0,6.859806,5709195,1721144320242
103,10199.354166666666,2322157.0,8.471881,9576270,1721144320342
104,10299.958333333332,3145485.0,8.743841,18503820,1721144320442
105,10399.770833333334,1982483.0,7.383982,11478825,1721144320542
106,10500.0,1063555.0,5.7722964,4625700,1721144320643
107,10599.854166666666,1392242.0,6.956942,4175115,1721144320742
108,10699.625,1228777.0,4.10071,4840410,1721144320842
109,10800.354166666666,1145031.0,4.0035477,4739940,1721144320943
110,10899.708333333332,1520042.0,4.9641843,5509275,1721144321042
111,10999.5,1119338.0,5.5138497,4269720,1721144321142
112,11099.583333333334,979824.0,4.2320404,3816330,1721144321242
113,11199.3125,1279875.0,4.997928,4878405,1721144321342
114,11299.8125,1460510.0,5.455252,6257700,1721144321442
115,11399.583333333332,1918981.0,7.5573215,9895785,1721144321542
116,11499.833333333334,462704.0,2.9271414,1851300,1721144321642
117,11599.520833333334,590464.0,3.3077283,2108595,1721144321742
118,11699.75,651892.0,3.1799438,1500930,1721144321842
119,11799.8125,1063921.0,4.635461,3185460,1721144321942
120,11899.75,1777004.0,6.9089394,8299995,1721144322042
121,11999.229166666666,1184363.0,5.239215,5195370,1721144322142
122,12099.604166666666,522120.0,2.695682,1664895,1721144322242
123,12199.916666666666,883366.0,4.14161,2710395,1721144322342
124,12299.75,725487.0,4.504074,2504100,1721144322442
125,12399.5,4026912.0,6.732929,4689960,1721144322542
126,12499.416666666666,1835183.0,7.2019587,4764165,1721144322642
127,12599.499999999998,449458.0,3.330446,2137410,1721144322742
128,12699.4375,1128926.0,7.166246,4612185,1721144322842
129,12799.4375,888900.0,5.8964877,3397365,1721144322942
130,12899.5,1100349.0,6.6011896,4599180,1721144323042
131,12999.416666666666,588083.0,3.2103603,2098905,1721144323142
132,13099.541666666668,378958.0,1.5395542,418710,1721144323242
133,13199.479166666666,1690900.0,7.363387,5656410,1721144323342
134,13299.541666666666,1522568.0,8.09797,6978075,1721144323442
135,13399.604166666666,1016678.0,6.466255,4726170,1721144323542
136,13499.895833333334,399213.0,2.1005692,935850,1721144323642
137,13599.499999999998,950269.0,5.2106194,3957345,1721144323742
138,13699.479166666666,3575631.0,11.613254,18736890,1721144323842
139,13799.854166666666,1083991.0,5.197936,5310885,1721144323942
140,13899.708333333332,726750.0,4.386509,4115190,1721144324042
141,13999.729166666666,600760.0,3.0218256,2765475,1721144324142
142,14099.729166666666,619659.0,3.776419,3000075,1721144324242
143,14199.729166666666,1335421.0,6.1405888,5722200,1721144324342
144,14299.8125,340053.0,1.8243026,1488690,1721144324442
145,14400.229166666666,441297.0,1.4661154,489855,1721144324543
146,14499.958333333334,342687.0,0.9359138,63495,1721144324642
147,14599.145833333334,306006.0,0.92972445,50235,1721144324742
148,14699.75,318972.0,1.2364167,338640,1721144324842
149,14799.5,253534.0,0.82708514,0,1721144324942
150,14899.4375,293727.0,1.0849166,125715,1721144325042
151,14999.833333333334,256550.0,0.7842122,0,1721144325142
152,15099.437499999998,608216.0,1.3353771,252960,1721144325242
153,15199.458333333332,401819.0,2.2458901,1889550,1721144325342
154,15299.458333333332,915061.0,2.0196545,1153620,1721144325442
155,15399.4375,3322187.0,3.7104945,354195,1721144325542
156,15499.416666666666,351770.0,1.061975,76245,1721144325642
157,15599.666666666666,267011.0,1.0606922,310590,1721144325742
158,15699.6875,690865.0,2.6394897,2171325,1721144325842
159,15799.833333333332,992335.0,4.470776,4279410,1721144325942
160,15899.708333333332,699138.0,4.532404,4142985,1721144326042
161,15999.729166666666,1650116.0,7.5564156,8514195,1721144326142
162,16099.458333333334,1438691.0,7.474849,6471900,1721144326242
163,16199.791666666666,856382.0,5.401333,3896655,1721144326342
164,16299.729166666666,640817.0,4.1693597,3148230,1721144326442
165,16399.75,355166.0,1.0303092,0,1721144326542
166,16499.75,339817.0,1.2569257,418965,1721144326642
167,16599.75,485985.0,2.530817,1918620,1721144326742
168,16699.958333333332,299943.0,1.1193867,240465,1721144326842
169,16799.6875,672507.0,1.8911134,1129395,1721144326942
170,16899.666666666664,264273.0,2.0377228,1383885,1721144327042
171,16999.75,326506.0,1.834079,1141890,1721144327142
172,17100.083333333336,359415.0,2.162113,1473135,1721144327243
173,17199.6875,235094.0,1.2538582,474045,1721144327342
174,17299.75,875488.0,5.384935,3549090,1721144327442
175,17399.8125,2684444.0,10.045498,13221495,1721144327542
176,17499.520833333332,2656690.0,8.438322,15709020,1721144327642
177,17600.229166666664,1046587.0,3.9758966,4561440,1721144327743
178,17699.145833333332,690374.0,3.934457,3248190,1721144327842
179,17799.729166666664,444327.0,2.8826604,2272050,1721144327942
180,17900.083333333332,603199.0,2.481636,1858185,1721144328043
181,17999.708333333336,1079023.0,5.4047284,4765695,1721144328142
182,18100.0625,1078707.0,2.7729774,1814070,1721144328243
183,18199.749999999996,1162903.0,4.7346077,5950935,1721144328342
184,18299.958333333332,1386781.0,4.3455553,4380645,1721144328442
185,18399.895833333332,3684798.0,4.706251,2995995,1721144328542
186,18499.958333333332,602311.0,1.4344548,205785,1721144328642
187,18599.8125,404600.0,1.2295526,320790,1721144328742
188,18699.958333333332,329776.0,1.1003186,392955,1721144328842
189,18799.770833333332,1092377.0,3.5705502,3485085,1721144328942
190,18899.666666666664,649581.0,3.5855381,2701980,1721144329042
191,19001.291666666668,475018.0,2.3273604,1613130,1721144329144
192,19099.708333333332,661969.0,2.1498566,1429275,1721144329242
193,19199.708333333332,759908.0,2.8750627,2015775,1721144329342
194,19299.666666666668,619262.0,2.6346664,2081565,1721144329442
195,19399.541666666668,1499429.0,5.936376,6699615,1721144329542
196,19499.458333333332,372704.0,2.4865127,2120580,1721144329642
197,19599.395833333332,1248185.0,5.3622026,5310630,1721144329742
198,19699.645833333332,1315609.0,5.31876,6358170,1721144329842
199,19800.041666666664,1554605.0,5.740107,7465125,1721144329943
200,19899.9375,751297.0,3.1263373,2696370,1721144330042
201,20000.041666666664,833978.0,3.7382772,3564390,1721144330143
202,20099.9375,677056.0,3.129842,2831520,1721144330242
203,20200.208333333332,688537.0,3.2701724,2743545,1721144330343
204,20299.625,601182.0,2.6997218,2413575,1721144330442
205,20399.583333333332,326727.0,1.458907,785400,1721144330542
206,20499.4375,303789.0,1.3063908,478380,1721144330642
207,20599.666666666668,505601.0,2.8755655,2317950,1721144330742
208,20699.125,308111.0,1.414771,902190,1721144330842
209,20799.291666666664,291243.0,1.4239321,909840,1721144330942
210,20899.708333333332,980805.0,3.6544771,3162000,1721144331042
211,21000.166666666664,854946.0,4.6963406,3900225,1721144331143
212,21099.625,1346996.0,4.3925757,3869625,1721144331242
213,21199.375,346197.0,1.7767484,1508325,1721144331342
214,21299.5625,1575307.0,3.64324,2999565,1721144331442
215,21399.6875,3387906.0,3.7857935,318240,1721144331542
216,21499.291666666664,739164.0,2.1044629,1547850,1721144331642
217,21599.520833333332,1170101.0,5.0368023,4961025,1721144331742
218,21699.604166666668,1176622.0,4.8072314,5301960,1721144331842
219,21799.354166666668,460877.0,1.7581968,1149795,1721144331942
220,21899.479166666664,757613.0,2.0683596,1615680,1721144332042
221,22000.0,229735.0,1.7732631,1240830,1721144332143
222,22099.479166666664,804668.0,4.4039,3792360,1721144332242
223,22199.666666666664,574783.0,3.5632997,2955195,1721144332342
224,22299.645833333332,623300.0,1.7676647,1150305,1721144332442
225,22399.645833333332,729556.0,2.7541754,2453100,1721144332542
226,22499.625,1204887.0,4.5996113,5102550,1721144332642
227,22599.8125,706157.0,2.8228455,2178210,1721144332742
228,22699.416666666664,1291372.0,4.7067065,6135300,1721144332842
229,22799.625,1201633.0,5.0639133,5508000,1721144332942
230,22899.354166666664,531061.0,2.3223038,1917345,1721144333042
231,22999.145833333332,486282.0,2.6859655,2417910,1721144333142
232,23099.333333333336,233443.0,0.76969135,0,1721144333242
233,23199.354166666664,189977.0,0.653263,0,1721144333342
234,23299.666666666668,439650.0,1.6789756,1238535,1721144333442
235,23400.187499999996,286391.0,1.0180879,200940,1721144333543
236,23499.604166666664,386947.0,2.1146839,1808205,1721144333642
237,23599.708333333332,351368.0,1.6706438,1063860,1721144333742
238,23699.604166666668,350932.0,1.9360185,1720995,1721144333842
239,23799.687499999996,248110.0,1.0507805,397290,1721144333942
240,23899.5625,912740.0,3.2113671,2467890,1721144334042
241,24000.166666666664,367469.0,1.6501558,999855,1721144334143
242,24099.333333333336,1374808.0,2.0148392,411825,1721144334242
243,24200.270833333332,198564.0,1.7187349,1438200,1721144334343
244,24299.395833333332,377295.0,1.1228533,317220,1721144334442
245,24399.958333333336,3546591.0,4.368114,2102220,1721144334542
246,24499.625,1713016.0,3.5385592,2844270,1721144334642
247,24599.562499999996,257690.0,1.4960259,849660,1721144334742
248,24699.479166666668,882642.0,4.902728,4224840,1721144334842
249,24799.645833333332,629799.0,2.2031138,1677390,1721144334942
250,24899.645833333332,225017.0,1.3385912,912135,1721144335042
251,25000.1875,556297.0,2.6134968,2081820,1721144335143
252,25099.3125,423180.0,2.3583128,2028780,1721144335242
253,25199.624999999996,564284.0,2.2588534,1718700,1721144335342
254,25299.062499999996,325990.0,1.1472151,545955,1721144335442
255,25399.333333333332,810844.0,3.0062687,2656845,1721144335542
256,25499.604166666664,641740.0,2.64899,2528070,1721144335642
257,25599.562499999996,307839.0,1.3107489,1004700,1721144335742
258,25699.583333333332,389584.0,1.5386158,1012350,1721144335842
259,25799.416666666664,569292.0,2.8500283,2545155,1721144335942
260,25899.458333333332,316067.0,1.1432263,440640,1721144336042
261,25999.770833333332,515765.0,2.8319604,2400315,1721144336142
262,26099.625,390537.0,1.6150883,1010565,1721144336242
263,26199.666666666664,218723.0,0.83127767,63240,1721144336342
264,26299.625,613606.0,2.9409556,2785110,1721144336442
265,26399.25,556621.0,2.9107192,2514810,1721144336542
266,26499.625,430858.0,2.2236612,1430295,1721144336642
267,26599.854166666668,2254305.0,7.006759,11259270,1721144336742
268,26699.624999999996,1606147.0,5.6142817,10057200,1721144336842
269,26799.604166666664,1321788.0,5.3739586,7297845,1721144336942
270,26899.3125,487763.0,1.8380659,929985,1721144337042
271,26999.291666666664,1778968.0,5.6808414,5701035,1721144337142
272,27099.208333333332,2521536.0,5.8688245,8182950,1721144337242
273,27199.333333333332,898485.0,4.9568934,4592040,1721144337342
274,27299.145833333336,1524780.0,5.840113,8564430,1721144337442
275,27399.291666666668,4538455.0,6.2946906,5102550,1721144337542
276,27499.541666666664,1829978.0,4.5366707,2868495,1721144337642
277,27599.333333333336,1496130.0,6.7753468,6979350,1721144337742
278,27699.520833333332,2175034.0,8.216524,12183900,1721144337842
279,27799.229166666668,1746915.0,6.9832635,8446110,1721144337942
280,27899.520833333332,1387951.0,6.600381,5980260,1721144338042
281,27999.604166666664,1680558.0,5.767856,7657650,1721144338142
282,28099.541666666668,2486226.0,8.671693,13734555,1721144338242
283,28199.541666666664,2391750.0,8.35684,12747195,1721144338342
284,28299.645833333332,1870318.0,7.732503,8041935,1721144338442
285,28399.979166666664,1235087.0,5.33814,5351175,1721144338542
286,28499.541666666664,632179.0,3.783633,2094060,1721144338642
287,28599.249999999996,1836650.0,8.110131,6517800,1721144338742
288,28699.25,1404871.0,7.354176,5735460,1721144338842
289,28799.645833333332,1072877.0,5.0017943,4272525,1721144338942
